Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position,ID,Wave_Level,Value
NS,"Supervisors, mail and message distribution occupations ",72025,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1310,Median,27.5
NS,"Supervisors, mail and message distribution occupations ",72025,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1310,High,38.46
NS,Machinists and machining and tooling inspectors ,72100,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1311,Low,20.52
NS,Machinists and machining and tooling inspectors ,72100,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1311,Median,28.35
NS,Machinists and machining and tooling inspectors ,72100,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1311,High,43.37
NS,Tool and die makers ,72101,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1312,Low,22.64
NS,Tool and die makers ,72101,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1312,Median,30.47
NS,Tool and die makers ,72101,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1312,High,37.44
NS,Sheet metal workers ,72102,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1313,Low,18.0
NS,Sheet metal workers ,72102,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1313,Median,27.8
NS,Sheet metal workers ,72102,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1313,High,37.8
NS,Boilermakers ,72103,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1314,Low,37.62
NS,Boilermakers ,72103,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1314,Median,43.0
NS,Boilermakers ,72103,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1314,High,50.0
NS,Structural metal and platework fabricators and fitters ,72104,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1315,Low,21.8
NS,Structural metal and platework fabricators and fitters ,72104,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1315,Median,28.71
NS,Structural metal and platework fabricators and fitters ,72104,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1315,High,33.08
NS,Ironworkers ,72105,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1316,Low,25.0
NS,Ironworkers ,72105,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1316,Median,35.0
NS,Ironworkers ,72105,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1316,High,42.0
NS,Welders and related machine operators ,72106,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1317,Low,19.0
NS,Welders and related machine operators ,72106,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1317,Median,30.0
NS,Welders and related machine operators ,72106,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1317,High,41.0
NS,Electricians (except industrial and power system) ,72200,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1318,Low,17.0
NS,Electricians (except industrial and power system) ,72200,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1318,Median,27.0
NS,Electricians (except industrial and power system) ,72200,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1318,High,38.0
NS,Industrial electricians ,72201,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1319,Low,24.0
NS,Industrial electricians ,72201,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1319,Median,34.59
NS,Industrial electricians ,72201,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1319,High,40.87
NS,Power system electricians ,72202,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1320,Low,25.0
NS,Power system electricians ,72202,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1320,Median,42.2
NS,Power system electricians ,72202,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1320,High,46.15
NS,Electrical power line and cable workers ,72203,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1321,Low,26.0
NS,Electrical power line and cable workers ,72203,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1321,Median,44.0
NS,Electrical power line and cable workers ,72203,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1321,High,49.5
NS,Telecommunications line and cable installers and repairers ,72204,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1322,Low,15.0
NS,Telecommunications line and cable installers and repairers ,72204,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1322,Median,28.63
NS,Telecommunications line and cable installers and repairers ,72204,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1322,High,39.26
NS,Telecommunications equipment installation and cable television service technicians ,72205,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1323,Low,18.0
NS,Telecommunications equipment installation and cable television service technicians ,72205,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1323,Median,32.0
NS,Telecommunications equipment installation and cable television service technicians ,72205,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1323,High,40.0
NS,Plumbers ,72300,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1324,Low,15.0
NS,Plumbers ,72300,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1324,Median,27.0
NS,Plumbers ,72300,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1324,High,39.52
NS,"Steamfitters, pipefitters and sprinkler system installers ",72301,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1325,Low,27.0
NS,"Steamfitters, pipefitters and sprinkler system installers ",72301,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1325,Median,40.0
NS,"Steamfitters, pipefitters and sprinkler system installers ",72301,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1325,High,50.0
NS,Gas fitters ,72302,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1326,Low,
NS,Gas fitters ,72302,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1326,Median,28.57
NS,Gas fitters ,72302,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1326,High,
NS,Carpenters ,72310,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1327,Low,17.0
NS,Carpenters ,72310,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1327,Median,23.5
NS,Carpenters ,72310,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1327,High,34.99
NS,Cabinetmakers ,72311,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1328,Low,17.47
NS,Cabinetmakers ,72311,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1328,Median,23.22
NS,Cabinetmakers ,72311,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1328,High,30.58
NS,Bricklayers ,72320,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1329,Low,20.45
NS,Bricklayers ,72320,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1329,Median,28.0
NS,Bricklayers ,72320,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1329,High,36.24
NS,Insulators ,72321,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1330,Low,19.96
NS,Insulators ,72321,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1330,Median,36.74
NS,Insulators ,72321,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1330,High,40.91
NS,Construction millwrights and industrial mechanics ,72400,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1331,Low,20.0
NS,Construction millwrights and industrial mechanics ,72400,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1331,Median,30.0
NS,Construction millwrights and industrial mechanics ,72400,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1331,High,43.5
NS,Heavy-duty equipment mechanics ,72401,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1332,Low,22.0
NS,Heavy-duty equipment mechanics ,72401,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1332,Median,30.0
NS,Heavy-duty equipment mechanics ,72401,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1332,High,41.5
NS,"Heating, refrigeration and air conditioning mechanics ",72402,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1333,Low,20.0
NS,"Heating, refrigeration and air conditioning mechanics ",72402,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1333,Median,30.0
NS,"Heating, refrigeration and air conditioning mechanics ",72402,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1333,High,38.25
NS,Aircraft mechanics and aircraft inspectors ,72404,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1334,Low,24.47
NS,Aircraft mechanics and aircraft inspectors ,72404,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1334,Median,35.0
NS,Aircraft mechanics and aircraft inspectors ,72404,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1334,High,42.69
NS,Elevator constructors and mechanics ,72406,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1335,Low,26.1
NS,Elevator constructors and mechanics ,72406,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1335,Median,38.4
NS,Elevator constructors and mechanics ,72406,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1335,High,50.14
NS,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",72410,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1336,Low,15.0
NS,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",72410,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1336,Median,25.0
NS,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",72410,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1336,High,34.0
NS,"Auto body collision, refinishing and glass technicians and damage repair estimators ",72411,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1337,Low,17.5
NS,"Auto body collision, refinishing and glass technicians and damage repair estimators ",72411,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1337,Median,20.0
NS,"Auto body collision, refinishing and glass technicians and damage repair estimators ",72411,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1337,High,28.85
NS,Oil and solid fuel heating mechanics ,72420,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1338,Low,16.75
NS,Oil and solid fuel heating mechanics ,72420,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1338,Median,22.0
NS,Oil and solid fuel heating mechanics ,72420,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1338,High,31.0
NS,Appliance servicers and repairers ,72421,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1339,Low,19.29
NS,Appliance servicers and repairers ,72421,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1339,Median,24.85
NS,Appliance servicers and repairers ,72421,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1339,High,32.13
NS,Electrical mechanics ,72422,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1340,Low,
NS,Electrical mechanics ,72422,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1340,Median,30.02
NS,Electrical mechanics ,72422,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1340,High,
NS,"Motorcycle, all-terrain vehicle and other related mechanics ",72423,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1341,Low,15.0
NS,"Motorcycle, all-terrain vehicle and other related mechanics ",72423,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1341,Median,28.55
NS,"Motorcycle, all-terrain vehicle and other related mechanics ",72423,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1341,High,41.17
NS,Other small engine and small equipment repairers ,72429,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1342,Low,17.49
NS,Other small engine and small equipment repairers ,72429,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1342,Median,23.2
NS,Other small engine and small equipment repairers ,72429,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1342,High,30.68
NS,Crane operators ,72500,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1343,Low,22.2
NS,Crane operators ,72500,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1343,Median,38.32
NS,Crane operators ,72500,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1343,High,50.0
NS,"Air pilots, flight engineers and flying instructors ",72600,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1344,Low,18.36
NS,"Air pilots, flight engineers and flying instructors ",72600,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1344,Median,50.48
NS,"Air pilots, flight engineers and flying instructors ",72600,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1344,High,89.74
NS,Air traffic controllers and related occupations ,72601,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1345,Low,
NS,Air traffic controllers and related occupations ,72601,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1345,Median,43.83
NS,Air traffic controllers and related occupations ,72601,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1345,High,
NS,"Deck officers, water transport ",72602,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1346,Low,25.0
NS,"Deck officers, water transport ",72602,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1346,Median,37.68
NS,"Deck officers, water transport ",72602,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1346,High,65.38
NS,"Engineer officers, water transport ",72603,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1347,Low,22.89
NS,"Engineer officers, water transport ",72603,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1347,Median,42.0
NS,"Engineer officers, water transport ",72603,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1347,High,87.41
NS,Other technical trades and related occupations ,72999,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1348,Low,16.0
NS,Other technical trades and related occupations ,72999,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1348,Median,25.0
NS,Other technical trades and related occupations ,72999,7,72,"Trades, transport and equipment operators and related occupations",Technical trades and transportation officers and controllers,2,Technical Occupations and/or Supervisors,1348,High,35.0
NS,Concrete finishers ,73100,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1349,Low,19.0
NS,Concrete finishers ,73100,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1349,Median,24.0
NS,Concrete finishers ,73100,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1349,High,29.0
NS,"Plasterers, drywall installers and finishers and lathers ",73102,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1350,Low,17.0
NS,"Plasterers, drywall installers and finishers and lathers ",73102,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1350,Median,26.0
NS,"Plasterers, drywall installers and finishers and lathers ",73102,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1350,High,34.08
NS,Roofers and shinglers ,73110,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1351,Low,17.0
NS,Roofers and shinglers ,73110,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1351,Median,22.0
NS,Roofers and shinglers ,73110,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1351,High,31.0
NS,Glaziers ,73111,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1352,Low,17.0
NS,Glaziers ,73111,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1352,Median,25.16
NS,Glaziers ,73111,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1352,High,33.3
NS,Painters and decorators (except interior decorators) ,73112,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1353,Low,15.05
NS,Painters and decorators (except interior decorators) ,73112,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1353,Median,20.0
NS,Painters and decorators (except interior decorators) ,73112,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1353,High,32.28
NS,Floor covering installers ,73113,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1354,Low,17.5
NS,Floor covering installers ,73113,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1354,Median,21.5
NS,Floor covering installers ,73113,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1354,High,25.0
NS,Residential and commercial installers and servicers ,73200,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1355,Low,18.0
NS,Residential and commercial installers and servicers ,73200,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1355,Median,23.0
NS,Residential and commercial installers and servicers ,73200,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1355,High,32.0
NS,General building maintenance workers and building superintendents ,73201,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1356,Low,15.0
NS,General building maintenance workers and building superintendents ,73201,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1356,Median,18.0
NS,General building maintenance workers and building superintendents ,73201,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1356,High,27.5
NS,Pest controllers and fumigators ,73202,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1357,Low,
NS,Pest controllers and fumigators ,73202,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1357,Median,20.57
NS,Pest controllers and fumigators ,73202,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1357,High,
NS,Other repairers and servicers ,73209,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1358,Low,15.0
NS,Other repairers and servicers ,73209,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1358,Median,20.77
NS,Other repairers and servicers ,73209,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1358,High,32.0
NS,Transport truck drivers ,73300,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1359,Low,15.38
NS,Transport truck drivers ,73300,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1359,Median,21.28
NS,Transport truck drivers ,73300,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1359,High,31.43
NS,"Bus drivers, subway operators and other transit operators ",73301,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1360,Low,19.5
NS,"Bus drivers, subway operators and other transit operators ",73301,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1360,Median,24.16
NS,"Bus drivers, subway operators and other transit operators ",73301,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1360,High,28.61
NS,Railway and yard locomotive engineers ,73310,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1361,Low,26.57
NS,Railway and yard locomotive engineers ,73310,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1361,Median,41.91
NS,Railway and yard locomotive engineers ,73310,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1361,High,52.1
NS,Heavy equipment operators ,73400,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1362,Low,19.44
NS,Heavy equipment operators ,73400,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1362,Median,23.01
NS,Heavy equipment operators ,73400,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1362,High,31.0
NS,Printing press operators ,73401,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1363,Low,15.0
NS,Printing press operators ,73401,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1363,Median,22.59
NS,Printing press operators ,73401,7,73,"Trades, transport and equipment operators and related occupations",General trades,3,General Occupations/Trades,1363,High,30.69
NS,Mail and parcel sorters and related occupations ,74100,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1364,Low,19.0
NS,Mail and parcel sorters and related occupations ,74100,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1364,Median,25.0
NS,Mail and parcel sorters and related occupations ,74100,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1364,High,29.0
NS,Letter carriers ,74101,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1365,Low,21.19
NS,Letter carriers ,74101,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1365,Median,27.0
NS,Letter carriers ,74101,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1365,High,31.25
NS,Couriers and messengers ,74102,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1366,Low,15.0
NS,Couriers and messengers ,74102,7,74,"Trades, transport and equipment operators and related occupations","Mail and message distribution, other transport equipment operators and related maintenance workers",4,Workers/Machine Operators/Support,1366,Median,19.23
