Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position,ID,Wave_Level,Value,mean_temperature,Average_house_price,bachelors_higher,Minimum_wage,CPI
NS,Aquaculture and marine harvest labourers ,85102,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1399,Median,17.95,-3.3,0.3766,24.3,15.0,3.6
NS,Aquaculture and marine harvest labourers ,85102,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1399,High,20.5,-3.3,0.3766,24.3,15.0,3.6
NS,Nursery and greenhouse labourers ,85103,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1400,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Nursery and greenhouse labourers ,85103,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1400,Median,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Nursery and greenhouse labourers ,85103,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1400,High,19.0,-3.3,0.3766,24.3,15.0,3.6
NS,Mine labourers ,85110,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1401,Low,19.21,-3.3,0.3766,24.3,15.0,3.6
NS,Mine labourers ,85110,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1401,Median,28.27,-3.3,0.3766,24.3,15.0,3.6
NS,Mine labourers ,85110,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1401,High,39.94,-3.3,0.3766,24.3,15.0,3.6
NS,"Oil and gas drilling, servicing and related labourers ",85111,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1402,Low,18.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Oil and gas drilling, servicing and related labourers ",85111,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1402,Median,31.09,-3.3,0.3766,24.3,15.0,3.6
NS,"Oil and gas drilling, servicing and related labourers ",85111,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1402,High,37.4,-3.3,0.3766,24.3,15.0,3.6
NS,Logging and forestry labourers ,85120,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1403,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Logging and forestry labourers ,85120,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1403,Median,18.0,-3.3,0.3766,24.3,15.0,3.6
NS,Logging and forestry labourers ,85120,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1403,High,40.0,-3.3,0.3766,24.3,15.0,3.6
NS,Landscaping and grounds maintenance labourers ,85121,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1404,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Landscaping and grounds maintenance labourers ,85121,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1404,Median,16.0,-3.3,0.3766,24.3,15.0,3.6
NS,Landscaping and grounds maintenance labourers ,85121,8,85,"Natural resources, agriculture and related production occupations","Harvesting, landscaping and natural resources labourers",5,Labourers/Drivers/Support,1404,High,21.1,-3.3,0.3766,24.3,15.0,3.6
NS,Manufacturing managers ,90010,9,90,Occupations in manufacturing and utilities,Middle management occupations in manufacturing and utilities,0,Managers,1405,Low,21.5,-3.3,0.3766,24.3,15.0,3.6
NS,Manufacturing managers ,90010,9,90,Occupations in manufacturing and utilities,Middle management occupations in manufacturing and utilities,0,Managers,1405,Median,35.0,-3.3,0.3766,24.3,15.0,3.6
NS,Manufacturing managers ,90010,9,90,Occupations in manufacturing and utilities,Middle management occupations in manufacturing and utilities,0,Managers,1405,High,57.69,-3.3,0.3766,24.3,15.0,3.6
NS,Utilities managers ,90011,9,90,Occupations in manufacturing and utilities,Middle management occupations in manufacturing and utilities,0,Managers,1406,Low,31.0,-3.3,0.3766,24.3,15.0,3.6
NS,Utilities managers ,90011,9,90,Occupations in manufacturing and utilities,Middle management occupations in manufacturing and utilities,0,Managers,1406,Median,42.31,-3.3,0.3766,24.3,15.0,3.6
NS,Utilities managers ,90011,9,90,Occupations in manufacturing and utilities,Middle management occupations in manufacturing and utilities,0,Managers,1406,High,64.06,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, mineral and metal processing ",92010,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1407,Low,22.29,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, mineral and metal processing ",92010,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1407,Median,30.66,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, mineral and metal processing ",92010,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1407,High,43.1,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, petroleum, gas and chemical processing and utilities ",92011,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1408,Low,21.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, petroleum, gas and chemical processing and utilities ",92011,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1408,Median,42.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, petroleum, gas and chemical processing and utilities ",92011,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1408,High,48.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, food and beverage processing ",92012,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1409,Low,18.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, food and beverage processing ",92012,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1409,Median,27.47,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, food and beverage processing ",92012,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1409,High,35.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, plastic and rubber products manufacturing ",92013,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1410,Low,22.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, plastic and rubber products manufacturing ",92013,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1410,Median,30.2,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, plastic and rubber products manufacturing ",92013,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1410,High,38.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, forest products processing ",92014,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1411,Low,21.42,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, forest products processing ",92014,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1411,Median,30.69,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, forest products processing ",92014,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1411,High,43.27,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, other mechanical and metal products manufacturing ",92023,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1412,Low,21.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, other mechanical and metal products manufacturing ",92023,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1412,Median,35.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, other mechanical and metal products manufacturing ",92023,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1412,High,50.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, other products manufacturing and assembly ",92024,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1413,Low,,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, other products manufacturing and assembly ",92024,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1413,Median,23.87,-3.3,0.3766,24.3,15.0,3.6
NS,"Supervisors, other products manufacturing and assembly ",92024,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1413,High,,-3.3,0.3766,24.3,15.0,3.6
NS,Power engineers and power systems operators ,92100,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1414,Low,22.0,-3.3,0.3766,24.3,15.0,3.6
NS,Power engineers and power systems operators ,92100,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1414,Median,35.9,-3.3,0.3766,24.3,15.0,3.6
NS,Power engineers and power systems operators ,92100,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1414,High,50.0,-3.3,0.3766,24.3,15.0,3.6
NS,Water and waste treatment plant operators ,92101,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1415,Low,23.0,-3.3,0.3766,24.3,15.0,3.6
NS,Water and waste treatment plant operators ,92101,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1415,Median,26.07,-3.3,0.3766,24.3,15.0,3.6
NS,Water and waste treatment plant operators ,92101,9,92,Occupations in manufacturing and utilities,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,Technical Occupations and/or Supervisors,1415,High,32.27,-3.3,0.3766,24.3,15.0,3.6
NS,Aircraft assemblers and aircraft assembly inspectors ,93200,9,93,Occupations in manufacturing and utilities,Central control and process operators and aircraft assembly assemblers and inspectors,3,General Occupations/Trades,1416,Low,16.5,-3.3,0.3766,24.3,15.0,3.6
NS,Aircraft assemblers and aircraft assembly inspectors ,93200,9,93,Occupations in manufacturing and utilities,Central control and process operators and aircraft assembly assemblers and inspectors,3,General Occupations/Trades,1416,Median,25.0,-3.3,0.3766,24.3,15.0,3.6
NS,Aircraft assemblers and aircraft assembly inspectors ,93200,9,93,Occupations in manufacturing and utilities,Central control and process operators and aircraft assembly assemblers and inspectors,3,General Occupations/Trades,1416,High,46.15,-3.3,0.3766,24.3,15.0,3.6
NS,"Machine operators, mineral and metal processing ",94100,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1417,Low,16.86,-3.3,0.3766,24.3,15.0,3.6
NS,"Machine operators, mineral and metal processing ",94100,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1417,Median,22.72,-3.3,0.3766,24.3,15.0,3.6
NS,"Machine operators, mineral and metal processing ",94100,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1417,High,28.53,-3.3,0.3766,24.3,15.0,3.6
NS,"Concrete, clay and stone forming operators ",94103,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1418,Low,16.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Concrete, clay and stone forming operators ",94103,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1418,Median,20.41,-3.3,0.3766,24.3,15.0,3.6
NS,"Concrete, clay and stone forming operators ",94103,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1418,High,25.5,-3.3,0.3766,24.3,15.0,3.6
NS,Machining tool operators ,94106,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1419,Low,19.54,-3.3,0.3766,24.3,15.0,3.6
NS,Machining tool operators ,94106,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1419,Median,24.21,-3.3,0.3766,24.3,15.0,3.6
NS,Machining tool operators ,94106,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1419,High,32.47,-3.3,0.3766,24.3,15.0,3.6
NS,Machine operators of other metal products ,94107,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1420,Low,18.11,-3.3,0.3766,24.3,15.0,3.6
NS,Machine operators of other metal products ,94107,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1420,Median,22.69,-3.3,0.3766,24.3,15.0,3.6
NS,Machine operators of other metal products ,94107,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1420,High,30.02,-3.3,0.3766,24.3,15.0,3.6
NS,Plastics processing machine operators ,94111,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1421,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Plastics processing machine operators ,94111,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1421,Median,19.75,-3.3,0.3766,24.3,15.0,3.6
NS,Plastics processing machine operators ,94111,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1421,High,27.0,-3.3,0.3766,24.3,15.0,3.6
NS,Rubber processing machine operators and related workers ,94112,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1422,Low,20.0,-3.3,0.3766,24.3,15.0,3.6
NS,Rubber processing machine operators and related workers ,94112,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1422,Median,25.0,-3.3,0.3766,24.3,15.0,3.6
NS,Rubber processing machine operators and related workers ,94112,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1422,High,30.6,-3.3,0.3766,24.3,15.0,3.6
NS,Sawmill machine operators ,94120,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1423,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Sawmill machine operators ,94120,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1423,Median,19.75,-3.3,0.3766,24.3,15.0,3.6
NS,Sawmill machine operators ,94120,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1423,High,24.25,-3.3,0.3766,24.3,15.0,3.6
NS,"Pulp mill, papermaking and finishing machine operators ",94121,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1424,Low,,-3.3,0.3766,24.3,15.0,3.6
NS,"Pulp mill, papermaking and finishing machine operators ",94121,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1424,Median,32.78,-3.3,0.3766,24.3,15.0,3.6
NS,"Pulp mill, papermaking and finishing machine operators ",94121,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1424,High,,-3.3,0.3766,24.3,15.0,3.6
NS,Paper converting machine operators ,94122,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1425,Low,19.79,-3.3,0.3766,24.3,15.0,3.6
NS,Paper converting machine operators ,94122,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1425,Median,23.31,-3.3,0.3766,24.3,15.0,3.6
NS,Paper converting machine operators ,94122,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1425,High,31.35,-3.3,0.3766,24.3,15.0,3.6
NS,Industrial sewing machine operators ,94132,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1426,Low,15.78,-3.3,0.3766,24.3,15.0,3.6
NS,Industrial sewing machine operators ,94132,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1426,Median,17.0,-3.3,0.3766,24.3,15.0,3.6
NS,Industrial sewing machine operators ,94132,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1426,High,17.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Inspectors and graders, textile, fabric, fur and leather products manufacturing ",94133,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1427,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Inspectors and graders, textile, fabric, fur and leather products manufacturing ",94133,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1427,Median,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Inspectors and graders, textile, fabric, fur and leather products manufacturing ",94133,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1427,High,17.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Process control and machine operators, food and beverage processing ",94140,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1428,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Process control and machine operators, food and beverage processing ",94140,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1428,Median,18.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Process control and machine operators, food and beverage processing ",94140,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1428,High,27.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Industrial butchers and meat cutters, poultry preparers and related workers ",94141,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1429,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Industrial butchers and meat cutters, poultry preparers and related workers ",94141,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1429,Median,19.25,-3.3,0.3766,24.3,15.0,3.6
NS,"Industrial butchers and meat cutters, poultry preparers and related workers ",94141,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1429,High,21.26,-3.3,0.3766,24.3,15.0,3.6
NS,Fish and seafood plant workers ,94142,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1430,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Fish and seafood plant workers ,94142,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1430,Median,15.5,-3.3,0.3766,24.3,15.0,3.6
NS,Fish and seafood plant workers ,94142,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1430,High,19.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Testers and graders, food and beverage processing ",94143,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1431,Low,15.68,-3.3,0.3766,24.3,15.0,3.6
NS,"Testers and graders, food and beverage processing ",94143,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1431,Median,19.04,-3.3,0.3766,24.3,15.0,3.6
NS,"Testers and graders, food and beverage processing ",94143,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1431,High,22.0,-3.3,0.3766,24.3,15.0,3.6
NS,Plateless printing equipment operators ,94150,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1432,Low,15.24,-3.3,0.3766,24.3,15.0,3.6
NS,Plateless printing equipment operators ,94150,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1432,Median,21.32,-3.3,0.3766,24.3,15.0,3.6
NS,Plateless printing equipment operators ,94150,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1432,High,23.08,-3.3,0.3766,24.3,15.0,3.6
NS,"Camera, platemaking and other prepress occupations ",94151,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1433,Low,,-3.3,0.3766,24.3,15.0,3.6
NS,"Camera, platemaking and other prepress occupations ",94151,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1433,Median,23.56,-3.3,0.3766,24.3,15.0,3.6
NS,"Camera, platemaking and other prepress occupations ",94151,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1433,High,,-3.3,0.3766,24.3,15.0,3.6
NS,"Electronics assemblers, fabricators, inspectors and testers ",94201,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1434,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Electronics assemblers, fabricators, inspectors and testers ",94201,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1434,Median,20.26,-3.3,0.3766,24.3,15.0,3.6
NS,"Electronics assemblers, fabricators, inspectors and testers ",94201,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1434,High,28.0,-3.3,0.3766,24.3,15.0,3.6
NS,Mechanical assemblers and inspectors ,94204,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1435,Low,15.5,-3.3,0.3766,24.3,15.0,3.6
NS,Mechanical assemblers and inspectors ,94204,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1435,Median,24.0,-3.3,0.3766,24.3,15.0,3.6
NS,Mechanical assemblers and inspectors ,94204,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1435,High,44.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Furniture and fixture assemblers, finishers, refinishers and inspectors ",94210,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1436,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Furniture and fixture assemblers, finishers, refinishers and inspectors ",94210,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1436,Median,18.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Furniture and fixture assemblers, finishers, refinishers and inspectors ",94210,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1436,High,24.25,-3.3,0.3766,24.3,15.0,3.6
NS,Assemblers and inspectors of other wood products ,94211,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1437,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,Assemblers and inspectors of other wood products ,94211,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1437,Median,16.57,-3.3,0.3766,24.3,15.0,3.6
NS,Assemblers and inspectors of other wood products ,94211,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1437,High,20.18,-3.3,0.3766,24.3,15.0,3.6
NS,"Industrial painters, coaters and metal finishing process operators ",94213,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1438,Low,15.0,-3.3,0.3766,24.3,15.0,3.6
NS,"Industrial painters, coaters and metal finishing process operators ",94213,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1438,Median,28.87,-3.3,0.3766,24.3,15.0,3.6
NS,"Industrial painters, coaters and metal finishing process operators ",94213,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support,1438,High,36.0,-3.3,0.3766,24.3,15.0,3.6
